id,Kecamatan,Naker Pria,Naker Wanita,Nilai Aset,Nilai Omset,Klasifikasi Usaha
61906,Cangkringan,0,1,40000000,12000000,Usaha Mikro
61912,Cangkringan,0,1,30000000,6000000,Usaha Mikro
61914,Cangkringan,0,1,2000000,10000000,Usaha Mikro
61916,Cangkringan,0,1,150000000,90000000,Usaha Mikro
61917,Cangkringan,0,1,2500000,5600000,Usaha Mikro
61918,Cangkringan,0,1,2500000,2200000,Usaha Mikro
61919,Cangkringan,0,1,3000000,4000000,Usaha Mikro
61921,Cangkringan,0,1,2500000,7000000,Usaha Mikro
61923,Cangkringan,0,1,3000000,7500000,Usaha Mikro
61924,Cangkringan,0,1,400000,3000000,Usaha Mikro
61925,Cangkringan,0,1,25000000,2500000,Usaha Mikro
61926,Cangkringan,0,1,300000,640000,Usaha Mikro
61927,Cangkringan,0,3,150000,32000000,Usaha Mikro
61929,Cangkringan,0,1,15000000,4200000,Usaha Mikro
61930,Cangkringan,0,1,150000,11100000,Usaha Mikro
61931,Cangkringan,0,1,2500000,8000000,Usaha Mikro
61933,Cangkringan,0,1,500000,3750000,Usaha Mikro
61934,Cangkringan,0,1,500000,4500000,Usaha Mikro
61935,Cangkringan,0,1,2000000,10000000,Usaha Mikro
61936,Cangkringan,0,1,5000000,2100000,Usaha Mikro
61938,Cangkringan,0,1,300000,7000000,Usaha Mikro
61942,Cangkringan,0,1,400000,1500000,Usaha Mikro
61946,Cangkringan,0,1,500000,11000000,Usaha Mikro
61949,Cangkringan,0,1,500000,5100000,Usaha Mikro
61952,Cangkringan,0,1,10000000,3200000,Usaha Mikro
61953,Cangkringan,0,1,400000,3150000,Usaha Mikro
61954,Cangkringan,0,1,5000000,1500000,Usaha Mikro
61956,Cangkringan,0,1,5000000,8100000,Usaha Mikro
61958,Cangkringan,0,2,1000000,4500000,Usaha Mikro
61959,Cangkringan,0,1,6000000,5000000,Usaha Mikro
61960,Cangkringan,0,1,7000000,7500000,Usaha Mikro
61962,Cangkringan,0,1,2000000,11000000,Usaha Mikro
61964,Cangkringan,0,1,11500000,10500000,Usaha Mikro
61965,Cangkringan,0,1,3000000,1500000,Usaha Mikro
61966,Cangkringan,0,1,2000000,8000000,Usaha Mikro
61969,Cangkringan,0,1,96000000,27000000,Usaha Mikro
61971,Cangkringan,0,1,2000000,1200000,Usaha Mikro
61976,Cangkringan,0,1,11500000,3000000,Usaha Mikro
61977,Cangkringan,0,1,200000,1800000,Usaha Mikro
61978,Cangkringan,0,1,200000,500000,Usaha Mikro
61979,Cangkringan,0,1,1000000,27000000,Usaha Mikro
61980,Cangkringan,0,1,3000000,1000000,Usaha Mikro
61984,Cangkringan,0,1,300000,4500000,Usaha Mikro
61985,Cangkringan,0,1,200000,4100000,Usaha Mikro
61987,Cangkringan,0,1,3000000,4800000,Usaha Mikro
61989,Cangkringan,0,1,400000,2400000,Usaha Mikro
61990,Cangkringan,0,1,400000,2500000,Usaha Mikro
61995,Cangkringan,0,1,400000,7200000,Usaha Mikro
61996,Cangkringan,0,1,50000000,6000000,Usaha Mikro
61998,Cangkringan,0,1,5000000,3000000,Usaha Mikro
62001,Cangkringan,0,1,1000000,1320000,Usaha Mikro
62002,Cangkringan,0,1,3000000,8800000,Usaha Mikro
62005,Cangkringan,0,1,1000000,17000000,Usaha Mikro
62006,Cangkringan,0,1,1000000,1200000,Usaha Mikro
62007,Cangkringan,0,3,5000000,15000000,Usaha Mikro
62008,Cangkringan,0,1,5000000,7500000,Usaha Mikro
62011,Cangkringan,0,1,5000000,27000000,Usaha Mikro
62012,Cangkringan,0,4,2500000,800000,Usaha Mikro
62013,Cangkringan,0,1,7000000,4500000,Usaha Mikro
62014,Cangkringan,0,1,875000,3500000,Usaha Mikro
62015,Cangkringan,0,1,600000,3600000,Usaha Mikro
62016,Cangkringan,0,1,600000,5000000,Usaha Mikro
62018,Cangkringan,0,1,7000000,6000000,Usaha Mikro
62020,Cangkringan,0,1,3450000,16250000,Usaha Mikro
62021,Cangkringan,0,2,300000,7000000,Usaha Mikro
62023,Cangkringan,0,1,120000000,24000000,Usaha Mikro
62024,Cangkringan,0,1,52000000,24000000,Usaha Mikro
62028,Cangkringan,0,1,100000,420000,Usaha Mikro
62031,Cangkringan,0,1,2500000,1800000,Usaha Mikro
62032,Cangkringan,0,2,2000000,3900000,Usaha Mikro
62034,Cangkringan,0,1,56000000,18000000,Usaha Mikro
62036,Cangkringan,0,1,1000000,6764000,Usaha Mikro
62038,Cangkringan,0,1,4000000,4500000,Usaha Mikro
62041,Cangkringan,0,1,4000000,8000000,Usaha Mikro
62042,Cangkringan,0,2,5000000,2200000,Usaha Mikro
62043,Cangkringan,0,2,5000000,3000000,Usaha Mikro
62044,Cangkringan,0,2,5000000,6600000,Usaha Mikro
